Category,Item,Plan Value,Model Value,Status,Notes
Roof,Skylights W25 W26,FCM 2230 pair in the GF garden roof over ensuite/WIR,Two units on the garden roof plane,OK,"FIXED: were previously on the FF roof"
Roof,PV system,6.63kW on FF roof,18-panel array on the FF skillion,OK,
Roof,Vergola,S&I 200mm louvres Surfmist over alfresco,Louvre set + frame at LGF ceiling level with posts at the open garden edge,OK,
,,,,
ELEVATIONS / MATERIALS,,,,
Material,Scyon Axon Monument,West (street) elevation FF band only,FF street facade Axon with 133mm vertical battens; venetian blind over W20,OK,"FIXED: was wrongly on the model-west long walls; street facade = TRUE west"
Material,Render Grey Pebble 1/2 Str,All cavity brick + EPS walls,#cec8c1 all elevations except Axon band,OK,Colour discrepancy note retained in legend (plans say Quarter strength)
Material,EPS decorative band,700 band at slab junctions,Garden + side faces at LGF/GF junction; FF slab edge,OK,No longer floats across the alfresco opening
Material,Windows/doors,PC aluminium Monument; black hardware,Monument frames on all openings; real reveals (openings cut through walls),OK,
Elevation,Street (true W),"Garage D4 5000x2380 (730 from W corner), porch + D5 pivot 1200, W9; FF: W20 + venetian, D6 loggia",All present at plan positions,OK,
Elevation,Garden (true E),"LGF: W4 4000x3000 dining + open alfresco; GF: W12 4000x1800 master + seat, W14 over void; FF: W21 900x4560 + D7 + framed balcony screens",All present; W21 rebuilt full-width 2026-07-10,OK,
Elevation,North long side (model W),"LGF D2/W5/W6 + fireplace between; stair W7/W17/W18 + W22 opaque F3718; GF W15/W16 + W19 garage strip; FF W23/W24",All present; W18 tall unit runs into void band; W22 spans Y5.55-9.25,OK,
Elevation,South long side (model E),"LGF W1/W2/W3 + D1 at stair base; GF W10/W11; external stair descending street-to-garden; A/C + GAS HWS",All present,OK,
,,,,
WINDOW SCHEDULE (codes = h x w mm),,,,
Window,W1 AF0615 bath LGF east,1510x600 sill ~1800,1.51x0.6 sill 1.8,OK,
Window,W2 A1204 laundry east,450x1200,0.45x1.2 sill 0.9,OK,
Window,W3 A0616 pantry east,1570x600 sill 925,1.57x0.6 sill 0.925,OK,
Window,W4 AFA3040T dining garden,4000x3000 full height,4.0x2.86 sill 0.06,OK,
Window,W5/W6 AF1815T family west,1570x1800 pair with fireplace joinery between,1.57x1.8 sill 0.6 at cz -4.1/-0.9,OK,
Window,W7 AA1818 stair lightwell,1810x1800,1.81x1.8 on notch face,OK,Position approximated within the lightwell
Window,W8 AF1218 media west,1810x1200,1.81x1.2 sill 0.9,WARN,Plan tags W7/W8 both at the stair notch; W8 placed on media wall (matches old audit read) — verify against a higher-res crop if it matters
Window,W9 AF1822 guest street,2170x~2100,2.17x2.1 sill 0.3,OK,
Window,W10 A0618 bath GF east,1810x600 sill 1800,1.81x0.6 sill 1.8,OK,
Window,W11 AA0616 ensuite east,1570x600 sill 1800,1.57x0.6 sill 1.8,OK,
Window,W12 AFA1840 master garden,4000x1800 + window seat,4.0x1.8 sill 0.5 + seat joinery,OK,
Window,W13 AA1818 master west over void,1810x1800,1.81x1.8 sill 0.6,OK,
Window,W14 AA1430 bed2 garden,3010x1400,3.01x1.4 sill 0.9,OK,
Window,W15/W16 AA0924 beds west,2410x900 sill 1500,2.41x0.9 sill 1.5,OK,
Window,W17 AA1410 stair west GF,1000x1400,1.0x1.4 sill 0.9,OK,
Window,W18 F3018 stair west tall,1810x2950,1.81x2.95 sill 0.3 (runs into void band),OK,
Window,W19 AFA0630 garage west,3010x600 high,3.01x0.6 sill 1.95,OK,
Window,W20 AF1832 FF guest street,3170x1800 + motorised venetian,3.17x1.8 sill 0.3 + blind slats,OK,
Window,W21 FFF0946 stair/rumpus garden fixed,4560x900 at x -3.0..1.56 (chain 345|4560|610|1810|935),4.56x0.9 sill 1.2 c-0.72,OK,mm-verified vs Rev S p10 + Rev U DXF
Window,W22 F3718 stair opaque,1810x3700 spans GF/FF,1.81x3.7 opaque glazing Y5.55-9.25,OK,
Window,W23 A0612 powder west,1210x600 sill 1800 at powder band z5.185-7.075,1.21x0.6 sill 1.8 c6.13,OK,powder room itself moved 1.7m streetward per p10 chain
Window,W24 AA1224 FF guest west,2410x1200 head 2400 (sill 1200),2.41x1.2 sill 1.2 c9.6,OK,
,,,,
DOOR SCHEDULE,,,,
Door,D1 laundry east,900x2100 Hume XF3,0.9x2.1 leaf ajar,OK,
Door,D2 XXF3032 dining-alfresco,3200x3000 stacker,3.2x2.9 glass stacker with walk gap,OK,
Door,D3 FXX3047 family-alfresco,4700x3000 stacker,4.7x2.9 glass stacker with walk gap,OK,
Door,D4 garage,5000x2380 B&D Madrid,5.0x2.38 Monument panel with profile lines,OK,
Door,D5 entry,1200x2340 pivot Hume Savoy Pacific Maple,1.2x2.34 timber leaf ajar in porch recess,OK,
Door,D6 FXX2436 rumpus-front balcony,3610x2400 stacker,3.61x2.4 glass stacker with walk gap,OK,
Door,D7 XF2118 to rear balcony,1810x2100 slider in the balcony north wall,1.81x2.1 glass slider in the z=3.46 wall (rumpus side) per the 300dpi FF plan crop,OK,"FIXED from the earlier compromise — balcony re-set to x0.315..4.665 z0.09..3.46 (15.6 m2 check passes)"
Door,Internal doors,2340 LGF/GF; 2040 FF; 110 brick / 90 framed walls,All partitions with cut openings at those heights,OK,
,,,,
INTERIORS (NEW),,,,
Rooms,LGF,"Family/Dining, Kitchen (island 1000x3000 + bench + overheads + fridge), Pantry, L'dry (+chute), Bath, Media (carpet), Wine cellar (racks), WIL/Storage, Hall, stair w/ store under",All modelled with floor finishes per legend (TF/tiles/carpet),OK,
Rooms,GF,"Master (bed/seat) + WIR + Ensuite, Bed2, Bed3 + robes band, Bath (1500 tub), WIL + chute, Guest/Study + robe, Entry + porch, Mud, Workshop, Garage",All modelled,OK,Wet rooms tiled; beds carpet; halls timber
Rooms,FF,"Rumpus (bar + REF niche), Guest, Powder (V1200), void over stair, both balconies",All modelled,OK,
Stairs,Dog-leg 2x10R per level; open risers GF-FF; landing at west window wall,"Both stairs + landings + rails + glass void balustrades; walkable (verified: LGF-GF-FF both directions)",OK,
Fireplace,LOPI 4415HO GS2 family west wall,Firebox + joinery + glow,OK,
Walk mode,Pointer-lock WASD + touch + level jump,"Eye 1.6m, gravity, wall collision, stair ramps, balcony + alfresco + garden access verified programmatically",OK,
,,,,
SITE,,,,
Site,Slope,Street ~RL 33.5-34 (Y4.6-5.1) falling to garden ~RL 28.5,Terrain function + mesh; driveway ramp cut to garage apron; east cut bank at external stair; west retained bank stepping down to garden,OK,
Site,External stair,19R concrete + Monument balustrade along east face street-to-garden,Modelled + walkable ramp,OK,
Site,Pool,3.5 x 5.6 coping RL 28.450 (site plan p17),Modelled with coping deck + water + guard collider,OK,Landscaping beyond pool is indicative only
Site,A/C + HWS,Acoustic enclosure east side (Actron LRC-071CS) + 2x GAS HWS,Modelled,OK,
Site,Fences/retaining,1.8 boundary fences + retaining walls,Indicative,WARN,Boundary geometry simplified to a rectangle; true lot is a trapezoid
,,,,
KNOWN APPROXIMATIONS,,,,
Approx,Window positions along walls,Dimension chains p8/p9/p10,Placed from chains; typical tolerance +/-0.1m,WARN,
Feature,Stepped street facade,"Garage block to RL line at z_max; guest bay set back 2310 (face at LGF street line) with W9; porch void 1740x1600 between, pivot D5 at its back",Modelled per GF slab plan + p9 crop,OK,"FIXED: facade was previously flat; porch now the covered 1740x1600 void (2.8 m2)"
Feature,GF east wing chain,master 4850 / WIR 3390 / ENS 1780 / WIL 1560 / BATH 2280 / robe 600 / GUEST 3110 (90/110 walls),Rebuilt to chain; skylight hall + WIR positions correct,OK,Was drifted ~0.4m
Feature,Bed wing,"Beds 5340 wide, single 110 divider, 510 robe nooks, doors off the hall, 1470 CSD at master-suite entry",Rebuilt per p9 crop,OK,Was a wrong 1180 robe band
Feature,Stair well setout,270 wall | 3300 well | 110 | 1470 hall; 1160 landing + 2250 flights,x -3.095..+0.205 with W8 on the lightwell south cheek; media room windowless (retained wall),OK,
Feature,FF layout,"P'der 1890 beside stair; guest 3320w at street with robe 2240; rumpus 4480w from x+0.25; hall open to rumpus at the stair mouth",Rebuilt per p10 crops,OK,W21 modelled as a 2.2m clerestory strip in the z2.38 void wall — full FFF0946 4560 does not fit that wall; flagged
Approx,GF east room split (WIR/ENS/WIL/BATH),Right-side chains p9,"Stacked N-S per chains: master 4850, WIR 3390, ENS 1780, WIL 1560, BATH 2280, robe 600, guest 3110",OK,Internal jogs simplified
Approx,Furniture,Not in contract,Indicative only (beds/sofas/tables),OK,Per GOAL: rooms must read; full furnishing out of scope
Feature,FF wall/roof junction,Walls follow the 5deg roofline (no open wedge; p11/p12 show walls meeting roof underside),Raking head bands added on E/W faces + street closer band; garden wall trimmed to 9.21,OK,fixed 2026-07-10 (was a 0-0.66m open sky slot = "floating walls")
Feature,Rear balcony privacy screens,Framed slat panels min 1.5m from balcony level (p11 note),13 slats + stiles/rails both sides; 1.87m tall,OK,frames added 2026-07-10
Audit,Openings audit 2026-07-11 (5-agent + adversarial verify),All 27 windows + 7 external doors + internal doors vs schedule p2 + elevations + Rev U DXF,20 verified correct; 21 confirmed defects FIXED,OK,"fixed: W4 full-height 3000; D2/D3 3000h; W1/W10/W11/W23 obscure glass; W2-D1 order swap; W5/W6 sill 1200; W7 to family lightwell cheek; W8 to media cheek; W13 c-7.82; W17 to GF cheek (was phantom on facade); W18 F3018 into void band Y1.74-4.69; W19 c7.66; W21 c-0.72; W22 down to Y5.07-8.75 + de-encased; W25 x0.97 + both skylights 550x720; W27 added (NX-plane stair glazing); D5 porch deepened to 2310 (PORCHZ0 9.355) + D7 c3.075; master 870 door + single 820 CSD; wir-ens CSD c4.27; WIL hall door added; media/guest/bath/wil/beds doors repositioned; bed robes to plan recesses; bed3-stair 1470 CSD added; garage east wall to plan plane 0.24 (no phantom entry door, garage 5920 wide); mud slider SS910W; mud door hugs west end; FF powder room moved to z5.185-7.075 + linen closet added"
Audit,Walk regression 2026-07-11,All door crossings passable,26/26 pass (glass stackers modelled slid-open 55/45; garage panel door closed by design),OK,fixtures relocated clear of corrected doors: LGF bath vanity / GF ens flipped west shower + NE vanity + SE wc / WIL shelf / GF guest desk / FF powder wc
Audit,Room-by-room audit 2026-07-11 (partial - spend limit killed 4 of 6 zones + all verifiers),LGF-service + GF-master zones fully audited; 13 rooms verified clean; 26 findings applied,OK,"applied: LGF bath rebuilt to p8 symbols (was 0.8m adrift, WC in the laundry); ens rebuilt as the p9 L-shape with the around-the-corner 1650x1450 shower leg + V1700 + WC at the west end; GF east recess extended past WIR+ENS to the bath band (W11 moved into it); GF bath rebuilt (east shower strip, tub mid-room, WC nook + nook wall, V1700); guest/study phantom wall + robe deleted + bay wall to the p9 plane (W9 now visible inside, parapets follow); WIL L/C bank; WIR robes deepened; master bed to the north wall; laundry chute shaft, doors laundry/bath/wine/wil repositioned; stair spine wall added; partitions run to the east wall; MAIN ROOF CUT OUT over the rear balcony per p15 (checkerboard); pool moved to the east + survey-quad boundary fences + material picker added"
Audit,Zones NOT yet room-audited (spend limit),lgf-living / gf-street detail / ff detail / courtyard-agent,PENDING,openings + walls already verified by earlier audits; fixture-level detail pass outstanding for kitchen/alfresco/beds/rumpus
